Yield_CT,Yield_change,Latitude,Longitude,Crop,Crop_rotation_CT,Soil_cover_CT,Weed_pest_control_CT,P,E,PB,Tave,Tmax,Tmin,ST
1330.0,0.0902,40.8,-96.67,soybean,0,0.0,1.0,509.6,541.266,-31.666,19.35,33.61996,4.84391,Loam
8440.0,-0.1034,45.47,-73.75,maize,0,0.0,1.0,454.6,500.97,-46.37,17.03333,28.03758,4.98223,Loam
1850.0,-0.2108,35.18,-102.08,wheat.winter,0,1.0,1.0,520.1,568.23,-48.13,12.84444,29.11494,-3.41678,Loam
5384.0,0.0546,7.5,3.9,maize,0,0.0,1.0,684.4,441.423,242.977,27.44,33.7616,22.35871,Sandy clay loam
2463.0,0.1267,41.68,1.2,barley.winter,0,0.0,1.0,289.5,527.833,-238.333,14.25714,26.79505,1.79978,Clay loam
3200.0,0.0313,42.7,13.87,wheat.winter,0,0.0,1.0,655.1,597.779,57.321,15.16667,25.79672,-2.80289,Loam
5161.0,-0.0543,49.86,-99.96,barley.spring,0,0.0,1.0,312.4,420.97,-108.57,15.3,23.99599,3.8421,Loam
1167.0,0.2828,35.67,107.87,soybean,1,0.0,1.0,408.3,486.98,-78.679,17.96667,29.6094,1.26928,Loam
1630.0,-0.1448,41.8,1.12,barley.winter,0,0.0,1.0,215.3,475.366,-260.066,15.17143,28.85815,-1.6621,Loam
8630.0,-0.5979,45.55,17.03,maize,0,0.0,1.0,658.1,494.673,163.427,16.82857,29.63748,5.99353,Loam
490.0,2.3735,41.8,1.12,barley.winter,0,0.0,1.0,97.59999609,488.166691,-390.567,15.91428586,29.54895426,-1.78894326,Loam
2780.0,0.3849,45.7,-118.6,wheat.winter,0,0.0,1.0,581.1,648.738,-67.638,6.70909,26.27565,-4.93384,Loam
6580.0,-0.0456,30.93,75.87,rice,0,0.0,1.0,328.0,433.824,-105.824,27.34,36.17549,11.27524,Loam
2148.0,-0.9525,25.67,78.47,sorghum,0,0.0,0.0,599.3,345.629,253.671,28.55,36.06364,20.1673,Sandy clay loam
6900.0,0.058,25.58,85.4,maize,0,0.0,1.0,686.1,399.885,286.215,30.45,36.3504,25.4138,Loam
3089.0,0.0628,46.4,6.23,wheat.winter,1,0.0,1.0,1231.8,508.93,722.87,9.26364,23.63038,-0.91713,Loam
4532.0,0.0393,46.4,6.23,wheat.winter,0,0.0,1.0,1162.7,519.583,643.117,8.62727,22.8863,-2.85452,Loam
3912.0,-0.8827,46.4,6.23,wheat.winter,1,0.0,1.0,1228.9,541.772,687.128,9.71818,26.70192,-2.48785,Loam
5810.0,-0.0448,31.53,120.68,wheat.winter,0,0.0,1.0,744.6,586.109,158.491,16.95,28.49724,1.33219,Loam
3900.0,-0.0513,-2.35,30.25,maize,1,0.0,1.0,558.3,512.182,46.118,24.425,26.6788,17.19974,Clay
4459.0,0.2153,41.82,1.28,wheat.winter,1,0.0,1.0,235.0,519.431,-284.431,11.075,25.51853,0.53853,Loam
7070.0,0.0424,37.5,103.08,wheat.winter,0,0.0,1.0,304.8,441.465,-136.665,-0.8,14.12165,-17.02109,Loam
3610.0,-0.1465,53.12,-114.47,barley.spring,0,0.0,1.0,353.9,396.722,-42.822,12.54,21.46827,1.85623,Loam
1628.0,0.0749,34.3,-86.02,soybean,0,0.0,1.0,512.9,535.899,-22.999,22.03333,32.34329,5.17953,Loam
5225.0,-0.0773,49.86,-99.96,barley.spring,0,0.0,1.0,312.4,420.97,-108.57,15.3,23.99599,3.8421,Loam
1814.0,0.9267,52.52,15.12,soybean,0,0.0,1.0,274.8,358.821,-84.021,16.26667,24.79844,6.3537,Sandy loam
11457.0,0.0377,39.55,100.75,maize,0,0.0,1.0,-11.0,249.642,-260.642,13.62,27.77941,-5.48222,Loam
2130.0,0.0094,40.8,-96.67,soybean,0,0.0,1.0,1027.5,504.866,522.634,18.36667,29.26888,4.1768,Loam
9100.0,0.022,39.75,-83.6,maize,0,0.0,1.0,465.2,533.244,-68.044,19.05,31.93325,2.16649,Loam
4470.0,0.1029,52.44,-111.78,barley.spring,0,0.0,1.0,331.0,434.608,-103.608,13.5,24.23343,5.19781,Loam
9090.0,-0.0011,28.18,113.07,rice,0,0.0,1.0,794.3,334.279,460.021,19.55,28.30531,7.22014,Clay loam
5370.0,-0.0223,29.07,77.77,wheat.winter,0,0.0,1.0,-45.3,257.74,-303.04,22.725,28.51988,6.73476,Loam
4500.0,-0.0067,23.9,91.32,rice,0,0.0,1.0,1334.4,403.619,930.781,27.38,32.67963,18.36915,Loam
2693.0,0.1645,41.8,1.12,barley.winter,0,0.0,1.0,351.6,482.491,-130.891,15.87143,27.58309,1.11203,Loam
2676.0,0.0329,51.7,-113.22,wheat.spring,0,0.0,1.0,157.3,412.215,-254.915,13.36,26.94302,2.90929,Loam
612.0,0.0196,34.18,-101.95,cotton,0,0.0,1.0,370.3000023,556.6412942,-186.341,21.40000025,31.78707479,8.350496354,Loam
2611.0,-0.1785,30.6,-84.55,wheat.winter,0,0.0,1.0,903.7,555.886,347.814,17.78571,30.68905,3.55406,Sandy loam
1440.0,-0.0903,63.9,-145.33,barley.spring,0,1.0,1.0,322.7,244.375,78.325,9.24,18.79154,-1.21939,Loam
